id,loan_status_2,loan_status,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,age,pay_status
13,Paid,0,19500.0,36,6.49,597.57,A2,5,MORTGAGE,"(46000.0, 52000.0]",Not Verified,2014-01-07 00:00:00,credit_card,AL,9.98,705,709,8,0,9311,48.7,2,0,29,1
14,Paid,0,10000.0,36,9.91,322.25,B1,10,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2012-01-01 00:00:00,debt_consolidation,TX,11.22,,729,8,0,8734,67.2,,0,28,0
15,Paid,0,10550.0,60,17.86,267.1,D5,10,RENT,"(6694.0, 32500.0]",Verified,2015-01-10 00:00:00,debt_consolidation,MI,39.65,690,694,14,0,18027,78.4,0,0,22,1
16,Written off,1,12000.0,36,15.99,421.83,C5,,RENT,"(60000.0, 65000.0]",Verified,2016-01-10 00:00:00,debt_consolidation,MA,22.45,695,699,9,0,16210,51.5,0,0,27,0
17,Written off,1,10300.0,36,24.5,406.81,F3,10,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2014-01-08 00:00:00,major_purchase,NJ,7.74,715,719,9,0,68,0.9,1,0,52,1
18,Written off,1,24000.0,60,12.69,542.28,C2,10,RENT,"(52000.0, 60000.0]",Verified,2015-01-07 00:00:00,debt_consolidation,FL,16.88,715,719,10,0,14227,46.2,0,0,52,2
19,Written off,1,25000.0,60,15.59,602.52,D1,10,MORTGAGE,"(72000.0, 80000.0]",Verified,2014-01-12 00:00:00,debt_consolidation,WI,31.52,715,719,15,0,18997,71.1,4,0,32,1
20,Paid,0,25000.0,36,13.59,849.48,C2,2,OWN,"(133553.0, 6693021.0]",Not Verified,2017-01-08 00:00:00,medical,NC,18.94,675,679,14,0,36773,65.7,7,0,38,0
21,Paid,0,18000.0,60,21.49,491.94,D5,10,MORTGAGE,"(32500.0, 40000.0]",Source Verified,2016-01-11 00:00:00,debt_consolidation,MN,29.04,700,704,6,0,13556,87.5,2,0,38,-1
22,Paid,0,8000.0,36,9.75,257.2,B3,5,MORTGAGE,"(40000.0, 46000.0]",Not Verified,2016-01-03 00:00:00,credit_card,OH,22.72,705,709,15,0,11616,28.5,2,0,25,2
23,Paid,0,12000.0,36,15.31,417.81,C5,10,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2016-01-06 00:00:00,debt_consolidation,IL,24.92,760,764,8,0,531,4.4,3,0,39,-2
24,Paid,0,40000.0,60,13.59,922.25,C2,10,RENT,"(91000.0, 107000.0]",Source Verified,2017-01-11 00:00:00,debt_consolidation,RI,12.02,,699,27,0,33799,29.5,0,0,22,0
25,Paid,0,10000.0,36,12.69,335.45,C2,0,MORTGAGE,"(60000.0, 65000.0]",Not Verified,2015-01-04 00:00:00,debt_consolidation,CT,10.99,665,669,13,1,6500,52.0,3,1,22,0
26,Paid,0,15075.0,60,16.29,368.93,D2,10,MORTGAGE,"(80000.0, 91000.0]",Not Verified,2014-01-07 00:00:00,debt_consolidation,MO,14.66,675,679,10,0,10990,66.6,2,0,26,1
27,Written off,1,9175.0,36,10.74,299.25,B2,10,MORTGAGE,"(40000.0, 46000.0]",Not Verified,2012-01-04 00:00:00,credit_card,OR,18.31,720,724,6,0,30019,92.1,3,0,33,0
28,Written off,1,20000.0,36,8.39,630.34,B1,6,MORTGAGE,"(65000.0, 72000.0]",Not Verified,2016-01-03 00:00:00,debt_consolidation,CA,17.95,,699,18,0,8073,37.2,2,0,50,0
29,Paid,0,12000.0,60,16.24,293.35,C5,10,RENT,"(32500.0, 40000.0]",Verified,2014-01-02 00:00:00,major_purchase,NJ,15.99,700,704,3,0,5085,87.7,0,0,25,0
30,Paid,0,2125.0,36,23.99,83.36,F2,10,RENT,"(52000.0, 60000.0]",Source Verified,2015-01-03 00:00:00,debt_consolidation,MN,3.92,690,694,4,0,201,5.3,0,0,26,-1
31,Paid,0,25000.0,36,13.67,850.44,C4,10,OWN,"(80000.0, 91000.0]",Source Verified,2015-01-12 00:00:00,debt_consolidation,NY,30.51,700,704,28,0,49694,81.1,0,0,32,2
32,Written off,1,28000.0,36,8.67,886.1,B1,10,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2014-01-12 00:00:00,debt_consolidation,NY,27.95,705,709,9,0,68343,80.4,1,0,35,0
33,Paid,0,4175.0,36,23.13,161.9,F1,7,MORTGAGE,"(32500.0, 40000.0]",Not Verified,2016-01-03 00:00:00,debt_consolidation,WI,24.87,670,674,15,1,4840,56.0,0,1,53,-2
34,Paid,0,25450.0,60,23.4,723.31,E5,10,MORTGAGE,"(52000.0, 60000.0]",Verified,2013-01-11 00:00:00,debt_consolidation,OH,34.13,720,724,5,0,26724,89.7,0,0,57,-2
35,Paid,0,16000.0,36,7.62,498.59,A3,1,RENT,"(80000.0, 91000.0]",Not Verified,2014-01-02 00:00:00,credit_card,PA,12.56,700,704,6,0,19242,71.1,0,0,29,-1
36,Paid,0,6300.0,36,6.62,193.44,A2,7,RENT,"(65000.0, 72000.0]",Source Verified,2014-01-05 00:00:00,credit_card,FL,13.85,720,724,26,0,8452,29.8,1,0,39,0
37,Paid,0,16725.0,36,10.49,543.53,B2,1,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2016-01-11 00:00:00,debt_consolidation,FL,24.84,745,749,17,0,30680,38.3,4,0,21,0
38,Paid,0,26350.0,36,11.44,868.17,B4,10,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2017-01-02 00:00:00,debt_consolidation,GA,26.68,715,719,10,0,5563,24.1,0,0,24,1
39,Paid,0,4800.0,36,7.49,149.29,A4,0,MORTGAGE,"(133553.0, 6693021.0]",Verified,2015-01-02 00:00:00,debt_consolidation,NY,24.62,705,709,15,0,170537,87.2,4,0,30,-1
40,Paid,0,10000.0,60,13.59,230.57,C2,6,MORTGAGE,"(91000.0, 107000.0]",Not Verified,2017-01-11 00:00:00,debt_consolidation,CA,4.66,690,694,7,0,10768,35.5,2,0,32,0
41,Written off,1,10300.0,60,16.02,250.59,C5,10,RENT,"(6694.0, 32500.0]",Source Verified,2017-01-09 00:00:00,debt_consolidation,VA,34.2,685,689,17,1,21750,52.0,0,1,28,0
42,Paid,0,2800.0,60,11.11,61.04,B5,1,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2011-01-02 00:00:00,car,NV,12.54,720,724,7,0,4504,28.1,,0,21,0
43,Paid,0,12000.0,36,15.8,420.71,C3,7,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2012-01-12 00:00:00,credit_card,TX,16.74,685,689,8,0,2944,26.8,1,0,36,0
44,Paid,0,20400.0,60,10.99,443.45,B2,10,OWN,"(60000.0, 65000.0]",Source Verified,2013-01-11 00:00:00,credit_card,OH,19.44,745,749,13,1,17052,26.7,2,1,29,0
45,Paid,0,4725.0,36,18.99,173.18,D3,5,OWN,"(32500.0, 40000.0]",Source Verified,2017-01-02 00:00:00,debt_consolidation,OK,22.61,665,669,5,1,16,0.5,0,1,28,-2
46,Written off,1,35000.0,36,13.58,1189.09,C2,5,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2018-01-03 00:00:00,home_improvement,TX,8.74,695,699,11,0,8296,50.0,1,0,25,0
47,Written off,1,8000.0,36,10.99,261.88,B3,9,RENT,"(40000.0, 46000.0]",Not Verified,2014-01-10 00:00:00,debt_consolidation,NM,15.5,665,669,7,0,18968,90.3,1,0,49,1
48,Paid,0,11125.0,36,12.59,372.66,C2,10,OWN,"(6694.0, 32500.0]",Source Verified,2015-01-11 00:00:00,debt_consolidation,NY,23.73,720,724,3,0,9626,46.5,0,0,31,-1
49,Paid,0,6075.0,36,8.9,192.91,A5,3,OWN,"(40000.0, 46000.0]",Verified,2013-01-11 00:00:00,credit_card,IL,10.93,775,779,5,0,2003,40.9,2,0,23,0
50,Paid,0,10800.0,60,24.99,316.94,F4,10,RENT,"(91000.0, 107000.0]",Source Verified,2014-01-07 00:00:00,major_purchase,TX,29.27,660,664,10,0,24133,89.4,0,0,41,1
51,Paid,0,-15000.0,36,11.99,498.15,B5,10,MORTGAGE,"(107000.0, 133553.0]",Verified,2014-01-12 00:00:00,credit_card,NY,9.8,,694,7,2,17506,48.1,0,1,42,0
52,Paid,0,9000.0,36,11.49,296.75,B5,10,RENT,"(60000.0, 65000.0]",Not Verified,2017-01-03 00:00:00,debt_consolidation,NJ,18.96,720,724,7,1,7343,54.8,0,1,48,-2
53,Paid,0,3200.0,36,12.62,107.24,C1,,RENT,"(6694.0, 32500.0]",Verified,2017-01-07 00:00:00,other,FL,7.65,695,699,5,0,0,0.0,0,0,24,1
54,Paid,0,10000.0,36,5.32,301.15,A1,5,RENT,"(80000.0, 91000.0]",Not Verified,2016-01-04 00:00:00,credit_card,NY,27.59,710,714,15,0,14592,48.6,0,0,28,2
55,Paid,0,13800.0,36,12.88,464.18,C2,,OWN,"(6694.0, 32500.0]",Not Verified,2016-01-01 00:00:00,debt_consolidation,VT,12.36,705,709,11,0,12892,39.3,0,0,44,-2
56,Paid,0,8000.0,36,10.99,261.88,B4,2,RENT,"(52000.0, 60000.0]",Verified,2016-01-08 00:00:00,debt_consolidation,AL,21.39,690,694,10,0,2836,23.6,0,0,33,0
57,Written off,1,14000.0,60,26.24,421.16,E5,10,MORTGAGE,"(32500.0, 40000.0]",Verified,2017-01-03 00:00:00,debt_consolidation,OH,34.05,,669,8,1,10430,64.0,0,1,37,0
58,Paid,0,12000.0,36,9.99,387.15,B3,10,RENT,"(32500.0, 40000.0]",Source Verified,2015-01-05 00:00:00,debt_consolidation,TX,24.64,690,694,6,0,18060,89.9,0,0,33,-1
59,Paid,0,-8000.0,36,13.53,271.6,B5,10,MORTGAGE,"(65000.0, 72000.0]",Source Verified,2014-01-01 00:00:00,credit_card,CO,25.03,680,684,10,0,5988,67.3,5,0,28,0
60,Paid,0,5000.0,36,7.39,155.28,A4,10,MORTGAGE,"(107000.0, 133553.0]",Source Verified,2016-01-03 00:00:00,home_improvement,CA,1.88,720,724,6,0,8938,49.1,3,0,27,0
61,Paid,0,12000.0,60,15.61,289.34,D1,10,OWN,"(60000.0, 65000.0]",Verified,2014-01-05 00:00:00,debt_consolidation,PA,9.67,,669,21,0,15399,38.9,1,0,38,0
62,Paid,0,10200.0,36,13.18,344.57,C3,10,OWN,"(52000.0, 60000.0]",Verified,2015-01-11 00:00:00,debt_consolidation,SD,37.68,685,689,17,0,16311,71.2,1,0,28,2
63,Paid,0,18000.0,60,21.98,496.94,E4,4,RENT,"(40000.0, 46000.0]",Verified,2013-01-04 00:00:00,home_improvement,CT,7.6,685,689,7,0,5920,80.0,0,0,45,0
64,Written off,1,20000.0,36,20.2,745.32,E3,5,MORTGAGE,"(80000.0, 91000.0]",Verified,2014-01-08 00:00:00,small_business,NC,23.37,675,679,6,0,18812,73.2,2,0,54,0
65,Paid,0,24000.0,36,10.99,785.62,B2,8,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2013-01-12 00:00:00,debt_consolidation,VA,3.7,720,724,6,0,11366,39.2,3,0,56,-2
66,Paid,0,4525.0,36,6.49,138.67,A2,3,RENT,"(80000.0, 91000.0]",Not Verified,2014-01-09 00:00:00,credit_card,GA,8.82,675,679,10,1,4464,17.0,1,1,55,2
67,Paid,0,-5500.0,36,9.17,175.34,B2,1,MORTGAGE,"(6694.0, 32500.0]",Not Verified,2015-01-10 00:00:00,credit_card,TX,34.6,695,699,13,0,8178,40.1,2,0,29,2
68,Paid,0,14000.0,36,13.58,475.64,C2,10,RENT,"(6694.0, 32500.0]",Source Verified,2018-01-03 00:00:00,credit_card,OH,25.6,685,689,10,0,18805,76.8,1,0,28,1
69,Paid,0,4300.0,36,7.39,133.54,A4,10,MORTGAGE,"(60000.0, 65000.0]",Verified,2016-01-06 00:00:00,other,GA,33.04,690,694,9,0,12131,74.9,4,0,21,2
70,Paid,0,1500.0,36,15.05,52.04,C4,,RENT,"(6694.0, 32500.0]",Source Verified,2017-01-08 00:00:00,debt_consolidation,CA,19.03,,709,1,0,0,,0,0,30,-1
71,Written off,1,24000.0,36,13.59,815.5,C2,10,OWN,"(133553.0, 6693021.0]",Verified,2017-01-09 00:00:00,debt_consolidation,WA,1.06,700,704,7,0,1992,26.2,0,0,32,2
72,Paid,0,9000.0,36,12.35,300.44,B4,7,RENT,"(6694.0, 32500.0]",Source Verified,2013-01-07 00:00:00,debt_consolidation,WA,17.48,685,689,6,0,11100,70.7,0,0,31,-1
73,Written off,1,7350.0,36,6.62,225.68,A2,5,MORTGAGE,"(60000.0, 65000.0]",Source Verified,2012-01-05 00:00:00,house,CA,22.47,735,739,11,0,10547,39.7,5,0,40,1
74,Paid,0,35000.0,36,7.49,1088.56,A4,2,MORTGAGE,"(133553.0, 6693021.0]",Verified,2017-01-01 00:00:00,debt_consolidation,NY,12.79,700,704,15,0,60079,49.2,1,0,31,-1
75,Paid,0,9600.0,36,14.98,332.7,C3,10,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2013-01-12 00:00:00,other,MA,13.16,665,669,7,0,11594,84.6,1,0,23,0
76,Written off,1,20000.0,36,16.29,706.01,C4,10,MORTGAGE,"(72000.0, 80000.0]",Not Verified,2012-01-09 00:00:00,debt_consolidation,TX,28.68,675,679,12,0,29296,81.8,3,0,28,-1
77,Paid,0,10500.0,36,7.9,328.55,A4,2,MORTGAGE,"(91000.0, 107000.0]",Not Verified,2014-01-02 00:00:00,debt_consolidation,VA,16.46,710,714,10,0,11326,77.0,2,0,44,-1
78,Written off,1,12000.0,36,9.76,385.86,B3,1,RENT,"(32500.0, 40000.0]",Verified,2015-01-12 00:00:00,debt_consolidation,FL,29.42,660,664,7,0,10769,90.7,0,0,25,0
79,Paid,0,22800.0,60,17.57,573.66,D4,5,RENT,"(52000.0, 60000.0]",Source Verified,2014-01-05 00:00:00,major_purchase,NY,16.49,665,669,6,0,2889,34.8,0,0,43,1
80,Written off,1,4000.0,36,10.99,130.94,B4,10,RENT,"(32500.0, 40000.0]",Verified,2015-01-11 00:00:00,other,IL,23.01,745,749,6,0,5840,42.9,0,0,36,0
81,Paid,0,-27575.0,36,12.99,928.98,C1,0,RENT,"(52000.0, 60000.0]",Verified,2014-01-10 00:00:00,debt_consolidation,TX,37.48,700,704,12,0,30721,91.4,0,0,25,0
82,Paid,0,13000.0,36,6.49,398.38,A2,10,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2015-01-01 00:00:00,debt_consolidation,KS,13.09,695,699,12,1,2020,9.4,7,1,29,0
83,Written off,1,-11500.0,36,10.49,373.73,B2,10,RENT,"(46000.0, 52000.0]",Source Verified,2016-01-11 00:00:00,other,NY,4.3,705,709,12,0,3305,6.6,0,0,47,1
84,Paid,0,8000.0,36,14.85,276.74,C5,3,RENT,"(32500.0, 40000.0]",Not Verified,2016-01-01 00:00:00,debt_consolidation,FL,23.1,695,699,11,0,6941,46.0,0,0,48,0
85,Paid,0,6725.0,36,15.8,235.77,C3,7,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2013-01-01 00:00:00,medical,FL,1.2,735,739,10,1,1275,5.4,2,1,32,0
86,Paid,0,8500.0,36,6.89,262.03,A3,10,OWN,"(107000.0, 133553.0]",Source Verified,2015-01-08 00:00:00,credit_card,KY,15.49,810,814,24,0,17490,11.3,5,0,44,-1
87,Paid,0,10000.0,36,5.32,301.15,A1,0,MORTGAGE,"(52000.0, 60000.0]",Not Verified,2017-01-09 00:00:00,debt_consolidation,ID,18.31,775,779,12,0,5808,8.1,4,0,31,0
88,Paid,0,15000.0,60,9.17,312.62,B2,0,MORTGAGE,"(40000.0, 46000.0]",Source Verified,2016-01-01 00:00:00,credit_card,AL,25.73,710,714,25,0,22779,35.4,1,0,34,0
89,Paid,0,20000.0,36,7.39,621.12,A4,10,MORTGAGE,"(52000.0, 60000.0]",Not Verified,2016-01-02 00:00:00,home_improvement,IL,15.47,740,744,12,1,5429,17.3,1,1,43,2
90,Written off,1,10725.0,36,18.24,389.03,D5,2,RENT,"(6694.0, 32500.0]",Source Verified,2014-01-10 00:00:00,debt_consolidation,FL,35.04,,699,12,0,7671,39.3,0,0,56,3
91,Paid,0,-6500.0,36,6.49,199.19,A2,10,MORTGAGE,"(32500.0, 40000.0]",Not Verified,2014-01-08 00:00:00,credit_card,OH,19.74,,729,7,1,2803,41.2,5,1,38,-1
92,Paid,0,20400.0,36,7.89,638.23,A5,9,MORTGAGE,"(60000.0, 65000.0]",Not Verified,2016-01-02 00:00:00,debt_consolidation,CA,24.94,780,784,13,0,7626,18.1,1,0,26,-2
93,Paid,0,6000.0,36,6.03,182.62,A1,8,MORTGAGE,"(46000.0, 52000.0]",Not Verified,2014-01-10 00:00:00,debt_consolidation,CO,24.75,685,689,16,0,17530,42.1,3,0,36,-1
94,Paid,0,3000.0,36,30.17,127.64,F3,4,RENT,"(72000.0, 80000.0]",Not Verified,2017-01-08 00:00:00,other,IL,7.93,685,689,9,0,1110,33.6,0,0,34,0
95,Paid,0,8000.0,36,9.99,258.1,B3,,OWN,"(46000.0, 52000.0]",Source Verified,2015-01-07 00:00:00,debt_consolidation,FL,16.89,665,669,15,0,14783,66.6,0,0,42,-1
96,Paid,0,15000.0,36,12.12,499.08,B3,5,MORTGAGE,"(32500.0, 40000.0]",Not Verified,2013-01-01 00:00:00,credit_card,MI,22.03,705,709,11,0,20681,48.7,0,0,26,0
97,Paid,0,6000.0,36,9.44,192.03,B1,10,RENT,"(91000.0, 107000.0]",Not Verified,2017-01-12 00:00:00,credit_card,IL,9.43,690,694,22,0,2155,15.7,4,0,21,0
98,Written off,1,6000.0,36,9.17,191.28,B2,0,RENT,"(46000.0, 52000.0]",Verified,2015-01-12 00:00:00,car,NJ,25.4,725,729,13,0,16,0.1,0,0,41,0
99,Written off,1,12375.0,36,20.2,461.17,E3,,RENT,"(46000.0, 52000.0]",Verified,2014-01-06 00:00:00,debt_consolidation,PA,24.06,680,684,6,0,2731,48.8,1,0,35,-2
100,Written off,1,35000.0,60,21.49,956.55,D5,10,MORTGAGE,"(91000.0, 107000.0]",Verified,2016-01-08 00:00:00,debt_consolidation,CA,7.65,670,674,12,0,41125,82.9,2,0,33,-2
101,Paid,0,32350.0,36,13.67,1100.47,B5,5,OWN,"(65000.0, 72000.0]",Verified,2013-01-10 00:00:00,debt_consolidation,OK,20.88,705,709,7,0,16085,75.2,0,0,62,0
102,Paid,0,20000.0,60,14.49,470.47,C4,0,RENT,"(52000.0, 60000.0]",Source Verified,2016-01-07 00:00:00,debt_consolidation,VA,14.12,680,684,16,0,14594,36.4,0,0,21,0
103,Written off,1,4000.0,36,17.09,142.8,D1,3,RENT,"(6694.0, 32500.0]",Source Verified,2017-01-12 00:00:00,debt_consolidation,CA,9.52,665,669,15,0,1617,85.1,0,0,29,2
104,Paid,0,20000.0,36,16.02,703.34,C5,2,RENT,"(46000.0, 52000.0]",Source Verified,2017-01-07 00:00:00,debt_consolidation,GA,15.29,700,704,11,0,15844,43.1,1,0,35,-1
105,Paid,0,21000.0,36,7.89,657.0,A5,2,OWN,"(107000.0, 133553.0]",Source Verified,2015-01-04 00:00:00,major_purchase,LA,16.38,750,754,19,1,1238,5.1,0,0,51,-1
106,Paid,0,-8200.0,36,7.35,254.51,A4,3,OWN,"(52000.0, 60000.0]",Verified,2017-01-09 00:00:00,debt_consolidation,IN,13.16,710,714,13,0,9160,58.3,1,0,37,0
107,Written off,1,7000.0,36,12.74,234.99,C1,1,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2017-01-01 00:00:00,other,OH,7.96,665,669,9,0,12297,72.3,9,0,38,1
108,Paid,0,18400.0,36,9.99,593.63,B1,3,RENT,"(52000.0, 60000.0]",Source Verified,2013-01-09 00:00:00,debt_consolidation,CA,29.47,710,714,10,0,38577,77.2,2,0,30,0
109,Paid,0,28200.0,60,21.99,778.7,E5,10,MORTGAGE,"(80000.0, 91000.0]",Verified,2014-01-11 00:00:00,credit_card,OR,18.56,660,664,21,0,21926,62.6,0,0,46,0
110,Paid,0,6000.0,36,10.49,194.99,B3,10,MORTGAGE,"(107000.0, 133553.0]",Not Verified,2015-01-02 00:00:00,car,MN,24.79,,734,8,0,32599,91.8,5,0,23,0
111,Written off,1,12000.0,36,13.35,406.36,C2,7,MORTGAGE,"(40000.0, 46000.0]",Source Verified,2014-01-05 00:00:00,home_improvement,IL,13.74,680,684,8,0,3229,52.1,1,0,44,1
112,Paid,0,11000.0,36,7.9,344.2,A4,4,RENT,"(65000.0, 72000.0]",Not Verified,2013-01-09 00:00:00,debt_consolidation,NY,18.21,,734,12,0,15438,27.1,0,0,23,-1
113,Paid,0,14000.0,36,14.64,482.86,C3,7,MORTGAGE,"(91000.0, 107000.0]",Not Verified,2014-01-04 00:00:00,debt_consolidation,AZ,19.95,700,704,11,0,37549,84.4,2,0,27,-1
114,Paid,0,24250.0,60,19.52,636.02,D4,10,RENT,"(52000.0, 60000.0]",Verified,2013-01-08 00:00:00,debt_consolidation,AZ,24.04,660,664,12,0,19373,76.0,4,0,25,2
115,Paid,0,8950.0,36,16.29,315.94,D2,3,MORTGAGE,"(6694.0, 32500.0]",Not Verified,2014-01-07 00:00:00,debt_consolidation,MO,14.02,670,674,27,1,8024,61.7,2,1,33,-1
116,Paid,0,12000.0,36,11.53,395.89,B5,1,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2015-01-09 00:00:00,debt_consolidation,CA,20.78,675,679,7,0,28466,96.2,4,0,37,0
117,Paid,0,3000.0,36,9.93,96.71,B2,10,RENT,"(107000.0, 133553.0]",Source Verified,2017-01-07 00:00:00,debt_consolidation,CA,15.41,705,709,10,0,28045,61.5,0,0,36,2
118,Written off,1,22000.0,36,19.48,811.79,E2,0,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2016-01-01 00:00:00,debt_consolidation,NJ,26.21,665,669,12,5,9295,66.9,0,1,43,1
119,Paid,0,14125.0,36,7.9,441.98,A4,3,MORTGAGE,"(65000.0, 72000.0]",Verified,2013-01-06 00:00:00,credit_card,TX,9.17,730,734,7,0,20327,74.2,5,0,47,1
120,Paid,0,12000.0,36,14.09,410.66,B5,6,RENT,"(52000.0, 60000.0]",Not Verified,2012-01-08 00:00:00,credit_card,MO,8.14,675,679,6,0,14613,42.1,0,0,34,2
121,Paid,0,16000.0,60,11.49,351.81,B5,7,MORTGAGE,"(133553.0, 6693021.0]",Verified,2017-01-05 00:00:00,debt_consolidation,NY,9.61,675,679,8,0,29163,77.0,1,0,26,0
122,Paid,0,13000.0,36,16.55,460.58,D2,10,RENT,"(46000.0, 52000.0]",Verified,2015-01-03 00:00:00,credit_card,AZ,22.47,660,664,9,1,15330,65.0,5,1,22,1
123,Written off,1,20000.0,36,10.99,654.68,B4,0,RENT,"(72000.0, 80000.0]",Source Verified,2016-01-07 00:00:00,credit_card,CA,28.32,690,694,14,0,30926,70.0,1,0,55,1
124,Paid,0,1850.0,36,15.61,64.69,D1,10,RENT,"(65000.0, 72000.0]",Not Verified,2015-01-10 00:00:00,other,CA,6.0,690,694,4,0,1357,50.0,0,0,35,0
125,Written off,1,15450.0,36,8.6,488.44,A4,3,MORTGAGE,"(46000.0, 52000.0]",Verified,2013-01-10 00:00:00,credit_card,NV,24.04,690,694,8,0,16680,83.8,3,0,54,1
126,Paid,0,19000.0,36,10.99,621.95,B3,2,MORTGAGE,"(52000.0, 60000.0]",Not Verified,2014-01-09 00:00:00,debt_consolidation,NY,27.84,710,714,12,0,18778,53.3,0,0,54,3
127,Paid,0,6000.0,36,19.99,222.96,D4,3,MORTGAGE,"(40000.0, 46000.0]",Verified,2016-01-10 00:00:00,debt_consolidation,TX,17.01,665,669,15,0,3859,72.8,1,0,22,1
128,Written off,1,12800.0,36,15.31,445.67,C2,10,MORTGAGE,"(72000.0, 80000.0]",Verified,2013-01-05 00:00:00,debt_consolidation,MD,22.86,,689,10,0,7454,49.4,7,0,44,2
129,Paid,0,9800.0,36,16.55,347.21,D2,0,RENT,"(80000.0, 91000.0]",Source Verified,2015-01-08 00:00:00,debt_consolidation,VA,36.19,690,694,16,0,19342,84.8,0,0,33,0
130,Paid,0,5000.0,36,6.03,152.18,A1,0,MORTGAGE,"(107000.0, 133553.0]",Not Verified,2011-01-09 00:00:00,home_improvement,FL,0.24,815,819,6,0,1477,0.0,,0,21,0
131,Paid,0,24000.0,36,12.79,806.23,C1,10,MORTGAGE,"(133553.0, 6693021.0]",Verified,2016-01-08 00:00:00,debt_consolidation,MD,24.59,690,694,22,0,36366,70.1,3,0,33,0
132,Paid,0,12000.0,60,14.99,285.42,C4,10,OWN,"(133553.0, 6693021.0]",Verified,2016-01-12 00:00:00,home_improvement,FL,9.03,800,804,17,0,7737,7.1,6,0,26,0
133,Paid,0,5000.0,36,6.89,154.14,A3,10,RENT,"(6694.0, 32500.0]",Not Verified,2015-01-11 00:00:00,debt_consolidation,TX,20.05,720,724,8,0,4264,43.1,0,0,32,0
